When,Latitude,Longitude,Magnitude,Epicentre,Remarks
2015/04/25 11:56,28.24,84.75,7.6,Gorkha,NSC/RSC
2015/04/25 12:23,28.41,85.8,5.5,Sindhupalchowk/Tibet,NSC
2015/04/25 12:30,28.28,84.72,6.6,Gorkha,NSC/RSC
2015/04/25 12:41,28.13,85.65,5.7,Rasuwa,NSC/RSC
2015/04/25 12:53,28.2,85.75,5.3,Rasuwa,NSC/RSC
2015/04/25 13:32,27.99,85.71,5.1,Tibet,NSC
2015/04/25 14:02,27.78,85.84,5.2,Sindhupalchowk,NSC/RSC
2015/04/25 14:05,27.9,84.86,5.1,Dhading,NSC/RSC
2015/04/25 14:14,28.18,84.95,5.2,Gorkha,NSC/RSC
2015/04/25 14:40,27.65,85.63,5.7,Kabre,NSC/RSC
2015/04/25 14:48,27.91,85.33,5.3,Rasuwa,NSC/RSC
2015/04/25 15:15,28,85.6,5.5,Sindhupalchowk,NSC/RSC
2015/04/25 15:28,28.29,85.16,4.6,Rasuwa,NSC/RSC
2015/04/25 16:08,27.87,85.8,4.1,Sindhupalchowk,NSC/RSC
2015/04/25 16:25,27.86,85.85,4,Sindhupalchowk,NSC/RSC
2015/04/25 16:50,28.14,85.28,4.6,Sindhupalchowk,NSC/RSC
2015/04/25 17:26,28.14,85.28,4.1,Rasuwa,NSC/RSC
2015/04/25 18:02,28,85.4,4.9,Nuwakot,NSC/RSC
2015/04/25 18:24,27.82,86.05,4.5,Dolakha,NSC
2015/04/25 18:29,84.71,28.16,5.5,Gorkha,NSC/RSC
2015/04/25 19:15,28.1,85.2,4.7,Rasuwa,NSC/RSC
2015/04/25 19:21,27.69,86.02,4.9,Dolakha,NSC
2015/04/25 19:38,27.79,85.16,4.1,Nuwakot,NSC/RSC
2015/04/25 19:47,27.68,85.32,4.1,Kathmandu,NSC
2015/04/25 19:55,27.73,85.9,4.7,Sindhupalchowk,NSC
2015/04/25 20:08,28.05,85.25,4.1,Rasuwa,NSC
2015/04/25 20:21,27.6,86.09,4.5,Dolakha,NSC
